Roofers Full Name As Stated In Salesforce,Pilot Program?,Wattage Tier 1,Price per watt 1,Wattage Tier 2,Price per watt 2,Wattage Tier 3,Price per watt 3,Wattage Tier 4,Price per watt 4,Template Message,Price per Square,Roofer State,Notes,Adjustments,Roofer Specific Guidelines,Proposal SKUs,Approved for TS,Bulk Partner,Product + Design
G. Fedale,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"Use the template ""TS Template""",4977,MD,Converts to $3.50/W,,No unique requirements,No Changes Needed,Y,N,N
GAF Energy,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"Use the template ""TS Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,Y,N,N
GAF Energy New Home,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"Use the template ""TS Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,Y,N,N
Galaxy Home Energy,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
Golden Group Construction Corp,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
Graves Bros Home Improvement,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"Use the template ""TS Template""",4977,PA,Converts to $3.50/W,,No unique requirements,No Changes Needed,Y,N,N
Green Day Power,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
"Green Star Exteriors, LLC",YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"Use the template ""TS Template""",4977,MD,Converts to $3.50/W,,No unique requirements,No Changes Needed,Y,N,N
Green Tree Home Solutions LLC,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
Greenlancer,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
GreenTek Property Solutions LLC,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
Greenway Roofing,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
Gregor Roofing,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"Use the template ""TS Template""",4977,PA,Converts to $3.50/W,,No unique requirements,No Changes Needed,Y,N,N
GroupXL,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
Guardian Roofs & Energy Solution,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"Use the template ""TS Template""",4977,CA,Converts to $3.50/W,,No unique requirements,No Changes Needed,Y,N,N
Gulf Coast Roofing,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,FL,Converts to $3.50/W,,FLORIDA Partner - ONLY USE TL SR Laminate Shingle v1b,FLORIDA Partner - ONLY USE TL SR Laminate Shingle v1b,N,N,N
Gulf States Contractor Services Inc,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,FL,Converts to $3.50/W,,FLORIDA Partner - ONLY USE TL SR Laminate Shingle v1b,FLORIDA Partner - ONLY USE TL SR Laminate Shingle v1b,N,N,N
H&R Roofing,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
Haan Roofing & Construction,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
Hannah Construction,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
Hershey Exteriors,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
Herzog Roofing Inc,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
High Tower Roofing,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
Home Pro - Professional Home Improvement Inc.,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
Homefix Custom Remodeling,YES,6120,0,8280,0,14400,0,54000,0,"Use the template ""TS Template""",0,MD,Converts to $3.50/W,Bluckett requested updated to change pricing to $0/W on 3/23/22,No unique requirements,No Changes Needed,Y,N,N
Ideal Property Solutions Inc,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
Immaculate Roofing Co Inc,YES,6120,3.6,8280,3.6,14400,3.6,54000,3.6,"Use the template ""TS Template""",5119.2,CA,Converts to $3.60/W,,No unique requirements,No Changes Needed,Y,N,N
Infinity Energy,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
Integrity Roofing & Exteriors LLC,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
Interstate Roofing Inc,YES,6120,3.75,8280,3.75,14400,3.75,54000,3.75,"Use the template ""TS Template""",5332.5,CO,Converts to $3.75/W,,No unique requirements,No Changes Needed,Y,N,N
iRestore STL LLC,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
JAM Roofing,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,CA,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
Ja-Mar Roofing & Sheet Metal,YES,6120,3.5,8280,3.5,14400,3.5,54000,3.5,"Use the template ""TS Template""",4977,TX,Converts to $3.50/W,JKarsnia requested default pricing to be adjusted to 3.50/W on 2/18/22,No unique requirements,No Changes Needed,Y,N,N
James Kate Roofing & Construction,YES,6120,3.95,8280,3.95,14400,3.95,54000,3.95,"Use the template ""TS Template""",5616.9,CA,Converts to $3.50/W,Kcool requested update to change pricing to $3.95/W on 3/23/22,No unique requirements,No Changes Needed,Y,N,N
Jarhead Construction Inc,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
Jenkins Roofing,YES,6120,3.5,8280,3.5,14400,3.5,54000,3.5,"Use the template ""TS Template""",4977,TX,Converts to $3.50/W,JKarsnia requested default pricing to be adjusted to 3.50/W on 2/18/22,No unique requirements,No Changes Needed,Y,N,N
JI Roofing,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
JK Endeavor,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
JM Test Prod Roofing,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
Jobe Roofing Company,YES,6120,4,8280,4,14400,4,54000,4,"Use the template ""TS Template""",5688,CA,Converts to $3.50/W,Alesem requested update to change pricing to $4.00/W on 3/4/22,No unique requirements,No Changes Needed,Y,N,N
Joe Ochoa Roofing,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"Use the template ""TS Template""",5332.5,TX,Converts to $3.75/W,TRoble requested update to change pricing to $3.75/W on 4/26/22,No unique requirements,No Changes Needed,Y,N,N
Joyland Roofing,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
K Reed Roofing,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,CA,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
Kanga Roof,YES,6120,3.75,8280,3.75,14400,3.75,54000,3.75,"Use the template ""TS Template""",5332.5,TX,Converts to $3.75/W,Jkarsnia requested update to change pricing to $3.75/W on 3/14/22,No unique requirements,No Changes Needed,Y,N,N
Kanga Roofing,YES,6120,3.75,8280,3.75,14400,3.75,54000,3.75,"Use the template ""TS Template""",5332.5,TX,Converts to $3.75/W,Jkarsnia requested update to change pricing to $3.75/W on 3/14/22,No unique requirements,No Changes Needed,Y,N,N
Kapili Construction,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"Use the template ""TS Template""",4977,HI,Converts to $3.50/W,,P+D Partner - Quote SKU's require additional data entry,P+D Partner - ADD - Design Services - REMOVE - Timberline Solar Services,Y,N,Y
Keystone Contracting LLC,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
Kidd Roofing,YES,6120,3.75,8280,3.75,14400,3.75,54000,3.75,"Use the template ""TS Template""",5332.5,TX,Converts to $3.75/W,Troble requested default pricing to be adjusted to 3.75/W on 2.28.22,No unique requirements,No Changes Needed,Y,N,N
Kidd-Luukko Roofing,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
King Quality Construction Inc,YES,6120,0,8280,0,14400,0,54000,0,"Use the template ""TS Template""",0,NY,,Jkarsnia requested update to change pricing to $0/W on 2/17/22,No unique requirements,No Changes Needed,Y,N,N
Kingdom Roofing,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
Knox Roofing,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
Lakeshore Builders Restoration,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
Legacy Roofing,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"Use the template ""TS Template""",4977,UT,Converts to $3.50/W,,P+D Partner - Quote SKU's require additional data entry,P+D Partner - ADD - Design Services - REMOVE - Timberline Solar Services,Y,N,Y
Legend Exteriors & Construction,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
Liberty Solar,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
Lindus Construction Inc,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
Long Construction NY LLC,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,NY,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
Los Gatos Roofing,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
"Lyndsey Roofing, LLC",YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"Use the template ""TS Template""",4977,NY,Converts to $3.50/W,,No unique requirements,No Changes Needed,Y,N,N
Marcor Construction Solar,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
Mark Anthony Construction and Roofing,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"Use the template ""TS Template""",4977,CA,Converts to $3.50/W,,No unique requirements,No Changes Needed,Y,N,N
Mark Kaufman Roofing,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
Marshall Exteriors LLC,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"Use the template ""TS Template""",4977,NY,Converts to $3.50/W,,No unique requirements,No Changes Needed,Y,N,N
Master Craft Roofing,YES,6120,0,8280,0,14400,0,54000,0,"Use the template ""TS Template""",0,CA,Converts to $3.50/W,Alesem requested update to change pricing to $0/W on 3/24/22,No unique requirements,No Changes Needed,Y,N,N
Master Roof Inc,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
Mastercraft Roofing,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"Use the template ""TS Template""",4977,CA,Converts to $3.50/W,,No unique requirements,No Changes Needed,Y,N,N
Maven Roofing & Solar,YES,6120,0,8280,0,14400,0,54000,0,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",0,NC,$0 value to be shown as of 2/9/22,,No unique requirements,No Changes Needed,N,N,N
McCormack Roofing Co,YES,6120,4.5,8280,4.5,14400,4.5,54000,4.5,"Use the template ""TS Template""",6399,CA,Al Lesem requested update to change pricing across all tiers to $4.50/W on 1/19/22,,No unique requirements,No Changes Needed,Y,N,N
McMurray & Sons Inc,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
MD Roofing & Coating LLC,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"Use the template ""TS Template""",4977,MD,Converts to $3.50/W,,Bulk Partner - Quote SKU's require additional data entry,Bulk Partner - CHANGE - Energy Shingle Sales Price = $0 - ADD - Solar Flashings & Electronics (1 W) SKU - QTY = System size in W,Y,Y,N
Meredith Home improvements,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"Use the template ""TS Template""",4977,PA,Converts to $3.50/W,,No unique requirements,No Changes Needed,Y,N,N
Meyers Pride Roofing,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
MGS Construction,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
MHX Designs,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"Use the template ""TS Template""",4977,PA,Converts to $3.50/W,,No unique requirements,No Changes Needed,Y,N,N
MHX Roofing,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,PA,Converts to $3.50/W,Upcoming TS Roofer,No unique requirements,No Changes Needed,N,N,N
Michael C. Graham & Son Construction,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"Use the template ""TS Template""",4977,NY,Converts to $3.50/W,,P+D and BULK Partner - Quote SKU's require additional data entry,P+D and BULK Partner - ADD - Design Services - REMOVE - Timberline Solar Services - CHANGE - Energy Shingle Sales Price = $0 - ADD - Solar Flashings & Electronics (1 W) SKU - QTY = System size in W,Y,Y,Y
Millard Roofing,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
Mitchell Roofïng Company LLC,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
Moctezuma Roofing Inc,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,CA,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
Modern Method Roofing Co,YES,6120,3.9,8280,3.9,14400,3.9,54000,3.9,"Use the template ""TS Template""",5545.8,CA,Converts to $3.90/W,,No unique requirements,No Changes Needed,Y,N,N
Monarch Roofing,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"Use the template ""TS Template""",0,SC,,Jkarsnia requested update to change pricing to $0/W on 2/17/22,Bulk Partner - Quote SKU's require additional data entry,Bulk Partner - CHANGE - Energy Shingle Sales Price = $0 - ADD - Solar Flashings & Electronics (1 W) SKU - QTY = System size in W,Y,Y,N
Monarch Solar,YES,6120,0,8280,0,14400,0,54000,0,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",0,NC,$0 value to be shown as of 2/9/22,,No unique requirements,No Changes Needed,N,N,N
Moonworks,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
Mr. Roof,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
"Neumann Construction & Roofing, LLCI",YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
New South Roofing,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
Northside Company Inc,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
Nushake Roofing & Solar,YES,6120,3.75,8280,3.75,14400,3.75,54000,3.75,"Use the template ""TS Template""",5332.5,CA,Converts to $3.75/W,Troy Roble requested update to change pricing across all tiers to $3.75/W on 1/28/22,No unique requirements,No Changes Needed,Y,N,N
O'Leary Construction,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
Orbit Energy & Power,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
Page Roofing,YES,6120,3.5,8280,3.5,14400,3.5,54000,3.5,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,CA,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
Panda Roof,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
Peak Roofing Contractors Inc,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"Use the template ""TS Template""",4977,VA,Converts to $3.50/W,,No unique requirements,No Changes Needed,Y,N,N
Pisgah Roofing And Restoration,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
PosiGen,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
Powerhouse Home Improvement Inc,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
Premier Roofing,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"Use the template ""TS Template""",4977,CO,Converts to $3.50/W,,No unique requirements,No Changes Needed,Y,N,N
Premier Roofing Company,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"Use the template ""TS Template""",4977,CO,Converts to $3.50/W,,No unique requirements,No Changes Needed,Y,N,N
Premiere Roofing & Carpentry,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
Premium Roofing Systems,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
Pro Nail,YES,6120,3.8,8280,3.8,14400,3.8,54000,3.8,"Use the template ""TS Template""",5403.6,TX,Converts to $3.80/W,Tuna requested update to change pricing to $3.80/W 5/27/22,No unique requirements,No Changes Needed,Y,N,N
Pro Quality Construction Inc,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
Pro Resto,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
ProCare Solutions,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
PROCO Roofing,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"Use the template ""TS Template""",5332.5,TX,Converts to $3.75/W,TRoble requested update to change pricing to $3.75/W on 4/26/22,No unique requirements,No Changes Needed,Y,N,N
ProNail Roofing & Solar,YES,6120,4.3,8280,4.3,14400,4.3,54000,4.3,"Use the template ""TS Template""",6114.6,TX,Converts to $4.30/W,Kcool requested update to change pricing to $4.3/W,No unique requirements,No Changes Needed,Y,N,N
PRQ Exteriors,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"Use the template ""TS Template""",4977,CO,Converts to $3.50/W,,No unique requirements,No Changes Needed,Y,N,N
R E Roofing & Construction Inc,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"Use the template ""TS Template""",4977,CA,Converts to $3.50/W,,No unique requirements,No Changes Needed,Y,N,N
R3 Construction LLC.,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
Rainier Roofing LLC,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
Rainy Day Roofing,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"Use the template ""TS Template""",4977,CA,Converts to $3.50/W,,No unique requirements,No Changes Needed,Y,N,N
Rebuild America,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"Use the template ""TS Template""",4977,NY,Converts to $3.50/W,,Bulk Partner - Quote SKU's require additional data entry,Bulk Partner - CHANGE - Energy Shingle Sales Price = $0 - ADD - Solar Flashings & Electronics (1 W) SKU - QTY = System size in W,Y,Y,N
Reliant Roofers,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,FL,Converts to $3.50/W,,FLORIDA Partner - ONLY USE TL SR Laminate Shingle v1b,FLORIDA Partner - ONLY USE TL SR Laminate Shingle v1b,N,N,N
